GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
aee2ca13-3b6a-4459-b42a-b6a3c3496927	1	3301765	17188269	7459	-0.0371
aee2ca13-3b6a-4459-b42a-b6a3c3496927	1	17192378	24577584	4428	-0.2108
aee2ca13-3b6a-4459-b42a-b6a3c3496927	1	24577764	30615853	2886	0.3054
aee2ca13-3b6a-4459-b42a-b6a3c3496927	1	30616120	48162464	9391	0.1053
aee2ca13-3b6a-4459-b42a-b6a3c3496927	1	48162531	51514721	1542	0.0562
aee2ca13-3b6a-4459-b42a-b6a3c3496927	1	51516145	57337301	3837	0.0962
aee2ca13-3b6a-4459-b42a-b6a3c3496927	1	57339878	78761699	13726	-0.075
aee2ca13-3b6a-4459-b42a-b6a3c3496927	1	78762115	119962478	24786	0.0674
aee2ca13-3b6a-4459-b42a-b6a3c3496927	1	119962716	158188884	4177	0.2136
aee2ca13-3b6a-4459-b42a-b6a3c3496927	1	158191769	159491863	802	0.1422
aee2ca13-3b6a-4459-b42a-b6a3c3496927	1	159492130	165118879	3863	0.2062
aee2ca13-3b6a-4459-b42a-b6a3c3496927	1	165119481	166033837	817	0.5418
aee2ca13-3b6a-4459-b42a-b6a3c3496927	1	166034072	170626694	3381	0.1975
aee2ca13-3b6a-4459-b42a-b6a3c3496927	1	170627117	170633676	4	-0.1599
aee2ca13-3b6a-4459-b42a-b6a3c3496927	1	170634329	170951918	176	0.3138
aee2ca13-3b6a-4459-b42a-b6a3c3496927	1	170952891	171650397	450	0.6953
aee2ca13-3b6a-4459-b42a-b6a3c3496927	1	171661386	175100803	1996	0.3133
aee2ca13-3b6a-4459-b42a-b6a3c3496927	1	175109775	175135932	15	-0.2015
aee2ca13-3b6a-4459-b42a-b6a3c3496927	1	175136296	184581780	6045	0.3171
aee2ca13-3b6a-4459-b42a-b6a3c3496927	1	184582322	197050728	7231	0.4855
aee2ca13-3b6a-4459-b42a-b6a3c3496927	1	197056595	197520912	232	0.9717
aee2ca13-3b6a-4459-b42a-b6a3c3496927	1	197526295	223258740	17018	0.5252
aee2ca13-3b6a-4459-b42a-b6a3c3496927	1	223259617	223337092	69	-0.2751
aee2ca13-3b6a-4459-b42a-b6a3c3496927	1	223338616	233065209	5882	0.5342
aee2ca13-3b6a-4459-b42a-b6a3c3496927	1	233066251	233800561	624	0.9997
aee2ca13-3b6a-4459-b42a-b6a3c3496927	1	233805315	234274942	390	0.5293
aee2ca13-3b6a-4459-b42a-b6a3c3496927	1	234280060	235423061	672	0.7007
aee2ca13-3b6a-4459-b42a-b6a3c3496927	1	235425152	236161170	415	0.841
aee2ca13-3b6a-4459-b42a-b6a3c3496927	1	236164461	247622006	7344	0.687
aee2ca13-3b6a-4459-b42a-b6a3c3496927	1	247623103	247650984	17	0.5416
aee2ca13-3b6a-4459-b42a-b6a3c3496927	2	480597	11643841	7012	-0.2276
aee2ca13-3b6a-4459-b42a-b6a3c3496927	2	11646508	15752052	2758	-0.4422
aee2ca13-3b6a-4459-b42a-b6a3c3496927	2	15753509	15754819	3	-1.6093
aee2ca13-3b6a-4459-b42a-b6a3c3496927	2	15755583	19698218	2839	-0.4401
aee2ca13-3b6a-4459-b42a-b6a3c3496927	2	19700928	23692643	2559	0.3252
aee2ca13-3b6a-4459-b42a-b6a3c3496927	2	23698731	23775644	50	0.7603
aee2ca13-3b6a-4459-b42a-b6a3c3496927	2	23796501	24658797	363	0.3273
aee2ca13-3b6a-4459-b42a-b6a3c3496927	2	24662016	25198934	262	0.4822
aee2ca13-3b6a-4459-b42a-b6a3c3496927	2	25210497	34287561	4878	0.3345
aee2ca13-3b6a-4459-b42a-b6a3c3496927	2	34287637	34287804	2	-0.9007
aee2ca13-3b6a-4459-b42a-b6a3c3496927	2	34290073	37255030	1594	0.3056
aee2ca13-3b6a-4459-b42a-b6a3c3496927	2	37255382	39605225	1014	0.076
aee2ca13-3b6a-4459-b42a-b6a3c3496927	2	39606627	40160323	341	0.2056
aee2ca13-3b6a-4459-b42a-b6a3c3496927	2	40164376	45515605	3386	0.0814
aee2ca13-3b6a-4459-b42a-b6a3c3496927	2	45516575	48732464	2141	0.3378
aee2ca13-3b6a-4459-b42a-b6a3c3496927	2	48732634	60941704	6778	0.4308
aee2ca13-3b6a-4459-b42a-b6a3c3496927	2	60944867	69209428	4815	-0.0709
