GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
6c8f4fa1-9a13-4038-9ec1-a6b75b369488	1	3301765	13526460	5418	-0.0482
6c8f4fa1-9a13-4038-9ec1-a6b75b369488	1	13529113	13529289	4	-0.9215
6c8f4fa1-9a13-4038-9ec1-a6b75b369488	1	13531933	55582053	22733	-0.0548
6c8f4fa1-9a13-4038-9ec1-a6b75b369488	1	55583222	84417213	18561	-0.1102
6c8f4fa1-9a13-4038-9ec1-a6b75b369488	1	84417267	86029875	1114	0.1055
6c8f4fa1-9a13-4038-9ec1-a6b75b369488	1	86030066	92639098	4049	-0.1142
6c8f4fa1-9a13-4038-9ec1-a6b75b369488	1	92639954	95482510	1796	-0.0666
6c8f4fa1-9a13-4038-9ec1-a6b75b369488	1	95488913	107932306	7100	-0.118
6c8f4fa1-9a13-4038-9ec1-a6b75b369488	1	107934335	119981279	7335	-0.0765
6c8f4fa1-9a13-4038-9ec1-a6b75b369488	1	119981332	169246873	12050	0.2969
6c8f4fa1-9a13-4038-9ec1-a6b75b369488	1	169247699	169998107	569	0.434
6c8f4fa1-9a13-4038-9ec1-a6b75b369488	1	170000186	186354747	10112	0.2743
6c8f4fa1-9a13-4038-9ec1-a6b75b369488	1	186356826	199664908	7764	0.2402
6c8f4fa1-9a13-4038-9ec1-a6b75b369488	1	199665274	200590503	600	0.2835
6c8f4fa1-9a13-4038-9ec1-a6b75b369488	1	200596625	206746414	3844	0.3147
6c8f4fa1-9a13-4038-9ec1-a6b75b369488	1	206749539	223328916	11318	0.2668
6c8f4fa1-9a13-4038-9ec1-a6b75b369488	1	223329266	226340082	1609	0.2917
6c8f4fa1-9a13-4038-9ec1-a6b75b369488	1	226345259	226353350	8	-0.3773
6c8f4fa1-9a13-4038-9ec1-a6b75b369488	1	226358463	234932384	5773	0.2932
6c8f4fa1-9a13-4038-9ec1-a6b75b369488	1	234933022	238475812	2486	0.267
6c8f4fa1-9a13-4038-9ec1-a6b75b369488	1	238476025	239789105	949	0.2154
6c8f4fa1-9a13-4038-9ec1-a6b75b369488	1	239790952	247650984	4528	0.2674
6c8f4fa1-9a13-4038-9ec1-a6b75b369488	2	480597	2614568	708	0.1254
6c8f4fa1-9a13-4038-9ec1-a6b75b369488	2	2620491	3736780	696	0.1737
6c8f4fa1-9a13-4038-9ec1-a6b75b369488	2	3738935	8390126	3449	0.1028
6c8f4fa1-9a13-4038-9ec1-a6b75b369488	2	8394818	10953634	1773	0.1646
6c8f4fa1-9a13-4038-9ec1-a6b75b369488	2	10954218	51161000	23904	0.1197
6c8f4fa1-9a13-4038-9ec1-a6b75b369488	2	51161106	60026750	4952	-0.1179
6c8f4fa1-9a13-4038-9ec1-a6b75b369488	2	60034000	68151906	4746	-0.0948
6c8f4fa1-9a13-4038-9ec1-a6b75b369488	2	68153052	68154698	3	-1.2346
6c8f4fa1-9a13-4038-9ec1-a6b75b369488	2	68154720	77117331	5086	-0.0739
6c8f4fa1-9a13-4038-9ec1-a6b75b369488	2	77121733	84633345	3939	-0.1177
6c8f4fa1-9a13-4038-9ec1-a6b75b369488	2	84634112	132852290	20111	-0.083
6c8f4fa1-9a13-4038-9ec1-a6b75b369488	2	132853456	216088787	47229	-0.1075
6c8f4fa1-9a13-4038-9ec1-a6b75b369488	2	216089031	220389988	2690	-0.0569
6c8f4fa1-9a13-4038-9ec1-a6b75b369488	2	220390417	230625901	6467	-0.0974
6c8f4fa1-9a13-4038-9ec1-a6b75b369488	2	230626177	241537572	6398	-0.0609
6c8f4fa1-9a13-4038-9ec1-a6b75b369488	3	2170634	8605184	3691	0.0221
6c8f4fa1-9a13-4038-9ec1-a6b75b369488	3	8605392	15142059	4249	0.0665
6c8f4fa1-9a13-4038-9ec1-a6b75b369488	3	15144127	16603823	1000	0.0347
6c8f4fa1-9a13-4038-9ec1-a6b75b369488	3	16603945	31063278	8403	0.0075
6c8f4fa1-9a13-4038-9ec1-a6b75b369488	3	31064226	46377198	9100	0.0374
6c8f4fa1-9a13-4038-9ec1-a6b75b369488	3	46378143	54697350	3870	0.0703
6c8f4fa1-9a13-4038-9ec1-a6b75b369488	3	54702226	74767309	13320	0.034
6c8f4fa1-9a13-4038-9ec1-a6b75b369488	3	74769169	95781111	8534	0.004
6c8f4fa1-9a13-4038-9ec1-a6b75b369488	3	95781594	95787783	3	-1.0843
6c8f4fa1-9a13-4038-9ec1-a6b75b369488	3	95789820	116940197	11896	0.0043
6c8f4fa1-9a13-4038-9ec1-a6b75b369488	3	116946934	116949081	2	-1.4435
6c8f4fa1-9a13-4038-9ec1-a6b75b369488	3	116951235	118744791	1236	-0.0054
6c8f4fa1-9a13-4038-9ec1-a6b75b369488	3	118744982	122886260	2111	0.0253
6c8f4fa1-9a13-4038-9ec1-a6b75b369488	3	122886697	129636310	3965	0.0651
6c8f4fa1-9a13-4038-9ec1-a6b75b369488	3	129638949	141751772	7032	0.036
6c8f4fa1-9a13-4038-9ec1-a6b75b369488	3	141755083	161917953	10548	0.0101
6c8f4fa1-9a13-4038-9ec1-a6b75b369488	3	161924756	161924784	2	-1.2511
6c8f4fa1-9a13-4038-9ec1-a6b75b369488	3	161924951	169261067	3275	-0.0104
6c8f4fa1-9a13-4038-9ec1-a6b75b369488	3	169261891	190552946	11608	0.0193
6c8f4fa1-9a13-4038-9ec1-a6b75b369488	3	190556029	194104960	2126	0.0007
6c8f4fa1-9a13-4038-9ec1-a6b75b369488	3	194105866	197812401	1169	0.0552
6c8f4fa1-9a13-4038-9ec1-a6b75b369488	4	1059384	10276928	4814	0.1519
6c8f4fa1-9a13-4038-9ec1-a6b75b369488	4	10277205	11024047	596	0.0941
6c8f4fa1-9a13-4038-9ec1-a6b75b369488	4	11024404	12300289	998	0.0403
6c8f4fa1-9a13-4038-9ec1-a6b75b369488	4	12302937	17535247	3875	0.1004
6c8f4fa1-9a13-4038-9ec1-a6b75b369488	4	17535416	24274916	4312	0.0724
6c8f4fa1-9a13-4038-9ec1-a6b75b369488	4	24276238	25515129	821	0.1345
6c8f4fa1-9a13-4038-9ec1-a6b75b369488	4	25519256	37046589	6840	0.0752
6c8f4fa1-9a13-4038-9ec1-a6b75b369488	4	37047105	42831775	3637	0.1036
6c8f4fa1-9a13-4038-9ec1-a6b75b369488	4	42834381	47853128	2345	0.0615
6c8f4fa1-9a13-4038-9ec1-a6b75b369488	4	47856973	57725165	3994	0.1047
6c8f4fa1-9a13-4038-9ec1-a6b75b369488	4	57725397	70028454	6109	0.0587
6c8f4fa1-9a13-4038-9ec1-a6b75b369488	4	70030491	100832746	17789	0.0889
6c8f4fa1-9a13-4038-9ec1-a6b75b369488	4	100837396	182222540	44942	0.0726
6c8f4fa1-9a13-4038-9ec1-a6b75b369488	4	182222576	187842528	2383	0.0928
6c8f4fa1-9a13-4038-9ec1-a6b75b369488	5	913983	3428851	1455	-0.0714
6c8f4fa1-9a13-4038-9ec1-a6b75b369488	5	3428993	26293691	13811	-0.1052
6c8f4fa1-9a13-4038-9ec1-a6b75b369488	5	26294051	30033294	2055	-0.1438
6c8f4fa1-9a13-4038-9ec1-a6b75b369488	5	30033401	132024654	53568	-0.1091
6c8f4fa1-9a13-4038-9ec1-a6b75b369488	5	132026205	142596092	6046	-0.0749
6c8f4fa1-9a13-4038-9ec1-a6b75b369488	5	142598083	170818662	18746	-0.1076
6c8f4fa1-9a13-4038-9ec1-a6b75b369488	5	170822178	180934240	5381	-0.0664
6c8f4fa1-9a13-4038-9ec1-a6b75b369488	6	1011760	29105317	18621	0.1019
6c8f4fa1-9a13-4038-9ec1-a6b75b369488	6	29199798	41937943	6415	0.1324
6c8f4fa1-9a13-4038-9ec1-a6b75b369488	6	41938073	41939412	10	-0.3402
6c8f4fa1-9a13-4038-9ec1-a6b75b369488	6	41939533	44811118	1588	0.1427
6c8f4fa1-9a13-4038-9ec1-a6b75b369488	6	44812964	66884661	10227	0.0839
6c8f4fa1-9a13-4038-9ec1-a6b75b369488	6	66886356	68695479	1052	0.1691
6c8f4fa1-9a13-4038-9ec1-a6b75b369488	6	68700162	106582345	21147	0.0053
6c8f4fa1-9a13-4038-9ec1-a6b75b369488	6	106582797	111073435	2665	0.0385
6c8f4fa1-9a13-4038-9ec1-a6b75b369488	6	111073726	143459207	19029	0.0051
6c8f4fa1-9a13-4038-9ec1-a6b75b369488	6	143477311	143893598	367	0.1894
6c8f4fa1-9a13-4038-9ec1-a6b75b369488	6	143894419	170596889	15993	0.0184
6c8f4fa1-9a13-4038-9ec1-a6b75b369488	7	664936	6549596	2230	0.149
6c8f4fa1-9a13-4038-9ec1-a6b75b369488	7	6550274	20435721	7585	0.0857
6c8f4fa1-9a13-4038-9ec1-a6b75b369488	7	20435884	36513756	10775	0.1094
6c8f4fa1-9a13-4038-9ec1-a6b75b369488	7	36516523	37969667	1117	0.0561
6c8f4fa1-9a13-4038-9ec1-a6b75b369488	7	37969694	51980153	8855	0.1139
6c8f4fa1-9a13-4038-9ec1-a6b75b369488	7	51983746	57184979	3008	0.0888
6c8f4fa1-9a13-4038-9ec1-a6b75b369488	7	57185111	77287986	5115	-0.0847
6c8f4fa1-9a13-4038-9ec1-a6b75b369488	7	77288543	88509034	6683	-0.123
6c8f4fa1-9a13-4038-9ec1-a6b75b369488	7	88511864	93230220	1843	0.0941
6c8f4fa1-9a13-4038-9ec1-a6b75b369488	7	93230333	97502271	2597	-0.1181
6c8f4fa1-9a13-4038-9ec1-a6b75b369488	7	97503874	99282671	772	-0.3177
6c8f4fa1-9a13-4038-9ec1-a6b75b369488	7	99283576	101274027	709	-0.055
6c8f4fa1-9a13-4038-9ec1-a6b75b369488	7	101275204	101289150	8	0.0833
6c8f4fa1-9a13-4038-9ec1-a6b75b369488	7	101294727	102207865	366	0.3046
6c8f4fa1-9a13-4038-9ec1-a6b75b369488	7	102211855	103364713	333	-0.0786
6c8f4fa1-9a13-4038-9ec1-a6b75b369488	7	103369965	104581547	865	0.1018
6c8f4fa1-9a13-4038-9ec1-a6b75b369488	7	104595300	108348274	2151	-0.3575
6c8f4fa1-9a13-4038-9ec1-a6b75b369488	7	108351123	108441521	60	0.8305
6c8f4fa1-9a13-4038-9ec1-a6b75b369488	7	108441931	109663555	765	1.0934
6c8f4fa1-9a13-4038-9ec1-a6b75b369488	7	109664613	109716682	30	0.5651
6c8f4fa1-9a13-4038-9ec1-a6b75b369488	7	109726965	109740030	11	1.0438
6c8f4fa1-9a13-4038-9ec1-a6b75b369488	7	109744385	110835335	635	0.4488
6c8f4fa1-9a13-4038-9ec1-a6b75b369488	7	110836045	138492676	15103	-0.3614
6c8f4fa1-9a13-4038-9ec1-a6b75b369488	7	138498593	141446300	1732	-0.0859
6c8f4fa1-9a13-4038-9ec1-a6b75b369488	7	141446625	141446685	2	-1.915
6c8f4fa1-9a13-4038-9ec1-a6b75b369488	7	141447137	144140193	925	-0.1049
6c8f4fa1-9a13-4038-9ec1-a6b75b369488	7	144140483	146689580	1246	-0.3747
6c8f4fa1-9a13-4038-9ec1-a6b75b369488	7	146691208	146691254	2	-1.5699
6c8f4fa1-9a13-4038-9ec1-a6b75b369488	7	146691851	156472592	5360	-0.3526
6c8f4fa1-9a13-4038-9ec1-a6b75b369488	7	156472643	156472881	2	-1.9616
6c8f4fa1-9a13-4038-9ec1-a6b75b369488	7	156474771	158592540	1012	-0.3228
6c8f4fa1-9a13-4038-9ec1-a6b75b369488	8	667625	43080575	25073	-0.3485
6c8f4fa1-9a13-4038-9ec1-a6b75b369488	8	46547532	48030257	582	0.2085
6c8f4fa1-9a13-4038-9ec1-a6b75b369488	8	48030333	62490335	8624	0.0929
6c8f4fa1-9a13-4038-9ec1-a6b75b369488	8	62490335	68055145	2948	0.2718
6c8f4fa1-9a13-4038-9ec1-a6b75b369488	8	68056175	69295362	798	0.4494
6c8f4fa1-9a13-4038-9ec1-a6b75b369488	8	69295681	69296082	6	-0.2846
6c8f4fa1-9a13-4038-9ec1-a6b75b369488	8	69299337	70040504	502	0.4556
6c8f4fa1-9a13-4038-9ec1-a6b75b369488	8	70041692	70042599	7	-0.2
6c8f4fa1-9a13-4038-9ec1-a6b75b369488	8	70048926	75595099	3411	0.4257
6c8f4fa1-9a13-4038-9ec1-a6b75b369488	8	75599323	76625522	588	-0.3984
6c8f4fa1-9a13-4038-9ec1-a6b75b369488	8	76625816	76637731	6	0.4161
6c8f4fa1-9a13-4038-9ec1-a6b75b369488	8	76640699	77386932	439	-0.3687
6c8f4fa1-9a13-4038-9ec1-a6b75b369488	8	77388446	77390403	3	0.8162
6c8f4fa1-9a13-4038-9ec1-a6b75b369488	8	77392078	77496626	72	-0.4123
6c8f4fa1-9a13-4038-9ec1-a6b75b369488	8	77543760	88102752	5478	0.8449
6c8f4fa1-9a13-4038-9ec1-a6b75b369488	8	88105512	92007424	2243	0.8095
6c8f4fa1-9a13-4038-9ec1-a6b75b369488	8	92007733	92007901	4	-0.0115
6c8f4fa1-9a13-4038-9ec1-a6b75b369488	8	92008360	94566121	1523	0.8257
6c8f4fa1-9a13-4038-9ec1-a6b75b369488	8	94567558	96342312	1155	0.8691
6c8f4fa1-9a13-4038-9ec1-a6b75b369488	8	96343438	97323873	606	0.7925
6c8f4fa1-9a13-4038-9ec1-a6b75b369488	8	97324318	103912131	3768	0.8679
6c8f4fa1-9a13-4038-9ec1-a6b75b369488	8	103912268	116847913	6827	0.8238
6c8f4fa1-9a13-4038-9ec1-a6b75b369488	8	116849920	139414177	16100	0.8527
6c8f4fa1-9a13-4038-9ec1-a6b75b369488	8	139415142	144182542	1432	0.9197
6c8f4fa1-9a13-4038-9ec1-a6b75b369488	9	789794	3501511	1893	-0.14
6c8f4fa1-9a13-4038-9ec1-a6b75b369488	9	3506276	7561207	2214	-0.1059
6c8f4fa1-9a13-4038-9ec1-a6b75b369488	9	7561271	8387055	584	-0.158
6c8f4fa1-9a13-4038-9ec1-a6b75b369488	9	8387513	8387554	3	-1.0043
6c8f4fa1-9a13-4038-9ec1-a6b75b369488	9	8393996	9144115	541	-0.1632
6c8f4fa1-9a13-4038-9ec1-a6b75b369488	9	9144846	9146300	3	-1.4878
6c8f4fa1-9a13-4038-9ec1-a6b75b369488	9	9148011	32256071	14375	-0.1359
6c8f4fa1-9a13-4038-9ec1-a6b75b369488	9	32256496	73163322	7377	-0.1085
6c8f4fa1-9a13-4038-9ec1-a6b75b369488	9	73163454	73163628	2	-1.6688
6c8f4fa1-9a13-4038-9ec1-a6b75b369488	9	73165798	73690280	278	-0.1107
6c8f4fa1-9a13-4038-9ec1-a6b75b369488	9	73692613	73693446	2	-1.3204
6c8f4fa1-9a13-4038-9ec1-a6b75b369488	9	73695335	85879237	8518	-0.1163
6c8f4fa1-9a13-4038-9ec1-a6b75b369488	9	85880331	99509879	8850	-0.0874
6c8f4fa1-9a13-4038-9ec1-a6b75b369488	9	99510156	104872359	3061	-0.1288
6c8f4fa1-9a13-4038-9ec1-a6b75b369488	9	104876226	117636142	9173	-0.0981
