GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
c6779002-10a2-4468-9be9-4b02fed3df9c	1	3301765	247650984	129670	0.0166
c6779002-10a2-4468-9be9-4b02fed3df9c	2	480597	68053782	40166	0.0259
c6779002-10a2-4468-9be9-4b02fed3df9c	2	68053863	69015540	526	-0.0311
c6779002-10a2-4468-9be9-4b02fed3df9c	2	69016169	69017357	2	-1.4237
c6779002-10a2-4468-9be9-4b02fed3df9c	2	69019937	70496413	933	-0.0362
c6779002-10a2-4468-9be9-4b02fed3df9c	2	70500690	85105322	7873	0.0273
c6779002-10a2-4468-9be9-4b02fed3df9c	2	85105337	85106283	2	-1.9804
c6779002-10a2-4468-9be9-4b02fed3df9c	2	85106853	241537572	82699	0.0261
c6779002-10a2-4468-9be9-4b02fed3df9c	3	2170634	101092274	54935	0.0204
c6779002-10a2-4468-9be9-4b02fed3df9c	3	101092641	101092756	2	-1.7016
c6779002-10a2-4468-9be9-4b02fed3df9c	3	101094478	197812401	52228	0.0165
c6779002-10a2-4468-9be9-4b02fed3df9c	4	1059384	1099232	33	-0.1211
c6779002-10a2-4468-9be9-4b02fed3df9c	4	1104127	15244920	8549	0.0261
c6779002-10a2-4468-9be9-4b02fed3df9c	4	15245273	15983430	521	-0.0427
c6779002-10a2-4468-9be9-4b02fed3df9c	4	15983831	15985025	2	-2.5214
c6779002-10a2-4468-9be9-4b02fed3df9c	4	15986874	75256128	32198	0.0299
c6779002-10a2-4468-9be9-4b02fed3df9c	4	75256588	75258049	2	-1.8963
c6779002-10a2-4468-9be9-4b02fed3df9c	4	75259597	76275035	632	0.0235
c6779002-10a2-4468-9be9-4b02fed3df9c	4	76275323	76275695	5	-0.958
c6779002-10a2-4468-9be9-4b02fed3df9c	4	76277603	81748408	3314	0.0204
c6779002-10a2-4468-9be9-4b02fed3df9c	4	81750016	81750209	4	-1.6087
c6779002-10a2-4468-9be9-4b02fed3df9c	4	81750784	187842528	58244	0.0262
c6779002-10a2-4468-9be9-4b02fed3df9c	5	913983	14244248	9210	0.0406
c6779002-10a2-4468-9be9-4b02fed3df9c	5	14246468	14247576	4	-1.0548
c6779002-10a2-4468-9be9-4b02fed3df9c	5	14247667	36256713	11815	0.0366
c6779002-10a2-4468-9be9-4b02fed3df9c	5	36257032	65193824	13509	0.0148
c6779002-10a2-4468-9be9-4b02fed3df9c	5	65199857	65199909	2	-1.7143
c6779002-10a2-4468-9be9-4b02fed3df9c	5	65200109	180934240	66573	0.0192
c6779002-10a2-4468-9be9-4b02fed3df9c	6	1011760	1060997	61	0.0398
c6779002-10a2-4468-9be9-4b02fed3df9c	6	1061676	1062555	2	-1.7634
c6779002-10a2-4468-9be9-4b02fed3df9c	6	1063648	25332862	17173	0.0172
c6779002-10a2-4468-9be9-4b02fed3df9c	6	25332902	38117361	5023	-0.0122
c6779002-10a2-4468-9be9-4b02fed3df9c	6	38119955	170596889	74912	0.0188
c6779002-10a2-4468-9be9-4b02fed3df9c	7	664936	35496931	19839	0.0229
c6779002-10a2-4468-9be9-4b02fed3df9c	7	35497026	38130782	1984	-0.02
c6779002-10a2-4468-9be9-4b02fed3df9c	7	38131593	67016096	12610	0.0303
c6779002-10a2-4468-9be9-4b02fed3df9c	7	67017101	72919953	3232	0.0683
c6779002-10a2-4468-9be9-4b02fed3df9c	7	72920091	127375405	27545	0.0207
c6779002-10a2-4468-9be9-4b02fed3df9c	7	127381228	127381900	2	-1.7868
c6779002-10a2-4468-9be9-4b02fed3df9c	7	127385695	145796583	9938	0.0151
c6779002-10a2-4468-9be9-4b02fed3df9c	7	145799010	145800062	2	-1.6912
c6779002-10a2-4468-9be9-4b02fed3df9c	7	145800439	158592540	6766	0.0262
c6779002-10a2-4468-9be9-4b02fed3df9c	8	667625	144182542	82204	0.023
c6779002-10a2-4468-9be9-4b02fed3df9c	9	789794	68541635	23684	0.0285
c6779002-10a2-4468-9be9-4b02fed3df9c	9	68541718	68559394	19	0.6945
c6779002-10a2-4468-9be9-4b02fed3df9c	9	68563595	138044505	44740	0.017
c6779002-10a2-4468-9be9-4b02fed3df9c	10	366509	133411599	81266	0.0236
c6779002-10a2-4468-9be9-4b02fed3df9c	11	456012	134272740	77557	0.0223
c6779002-10a2-4468-9be9-4b02fed3df9c	12	780472	132605822	74329	0.0177
c6779002-10a2-4468-9be9-4b02fed3df9c	13	18874255	114226675	57001	0.0255
c6779002-10a2-4468-9be9-4b02fed3df9c	14	20033191	42366250	12222	0.0261
c6779002-10a2-4468-9be9-4b02fed3df9c	14	42367772	42379606	8	-1.3931
c6779002-10a2-4468-9be9-4b02fed3df9c	14	42380790	105533894	37560	0.0176
c6779002-10a2-4468-9be9-4b02fed3df9c	15	23437561	101344124	44773	0.0183
c6779002-10a2-4468-9be9-4b02fed3df9c	16	603333	76135545	31795	0.0257
c6779002-10a2-4468-9be9-4b02fed3df9c	16	76135592	76163658	18	-1.2747
c6779002-10a2-4468-9be9-4b02fed3df9c	16	76166061	89317317	9373	0.0244
c6779002-10a2-4468-9be9-4b02fed3df9c	17	1074619	82959812	37267	0.0139
c6779002-10a2-4468-9be9-4b02fed3df9c	18	326691	79349796	42967	0.0285
c6779002-10a2-4468-9be9-4b02fed3df9c	19	283868	2170765	376	-0.0574
c6779002-10a2-4468-9be9-4b02fed3df9c	19	2170955	40374267	16415	0.0153
c6779002-10a2-4468-9be9-4b02fed3df9c	19	40379181	58370362	7353	-0.0149
c6779002-10a2-4468-9be9-4b02fed3df9c	20	472817	63588502	37526	0.0185
c6779002-10a2-4468-9be9-4b02fed3df9c	21	13974127	30333125	10594	0.0305
c6779002-10a2-4468-9be9-4b02fed3df9c	21	30335137	30335186	2	-1.6511
c6779002-10a2-4468-9be9-4b02fed3df9c	21	30336010	32426840	1257	0.039
c6779002-10a2-4468-9be9-4b02fed3df9c	21	32427356	35752744	2232	-0.0315
c6779002-10a2-4468-9be9-4b02fed3df9c	21	35753403	46262057	6508	0.0085
c6779002-10a2-4468-9be9-4b02fed3df9c	22	16934932	35375116	9029	0.0253
c6779002-10a2-4468-9be9-4b02fed3df9c	22	35382285	43001368	3695	-0.0065
c6779002-10a2-4468-9be9-4b02fed3df9c	22	43001557	48940621	4347	0.0275
c6779002-10a2-4468-9be9-4b02fed3df9c	X	3236359	57069834	23560	0.0184
c6779002-10a2-4468-9be9-4b02fed3df9c	X	57069986	57071594	2	-1.8327
c6779002-10a2-4468-9be9-4b02fed3df9c	X	57071839	102685005	16080	0.0227
c6779002-10a2-4468-9be9-4b02fed3df9c	X	102685740	102692326	2	-1.9549
c6779002-10a2-4468-9be9-4b02fed3df9c	X	102697244	155677414	24327	0.0255
