GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
2aa36c4f-8057-498b-832c-127ecff9cb03	1	62920	86341	11	-0.8032
2aa36c4f-8057-498b-832c-127ecff9cb03	1	98588	3301765	726	0.1952
2aa36c4f-8057-498b-832c-127ecff9cb03	1	3302046	4242020	528	-0.299
2aa36c4f-8057-498b-832c-127ecff9cb03	1	4242101	4248843	2	-2.1863
2aa36c4f-8057-498b-832c-127ecff9cb03	1	4251925	5054493	790	-0.2418
2aa36c4f-8057-498b-832c-127ecff9cb03	1	5060514	5068012	7	-1.61
2aa36c4f-8057-498b-832c-127ecff9cb03	1	5068342	5077606	5	-0.4923
2aa36c4f-8057-498b-832c-127ecff9cb03	1	5079676	5081580	5	0.4335
2aa36c4f-8057-498b-832c-127ecff9cb03	1	5083184	5086011	6	-0.5603
2aa36c4f-8057-498b-832c-127ecff9cb03	1	5088625	5088662	2	1.935
2aa36c4f-8057-498b-832c-127ecff9cb03	1	5089929	8363450	2079	-0.221
2aa36c4f-8057-498b-832c-127ecff9cb03	1	8365437	8749002	190	-0.0082
2aa36c4f-8057-498b-832c-127ecff9cb03	1	8750282	8909160	99	-0.2593
2aa36c4f-8057-498b-832c-127ecff9cb03	1	8911283	8923596	5	0.6054
2aa36c4f-8057-498b-832c-127ecff9cb03	1	8923700	9247978	198	-0.2593
2aa36c4f-8057-498b-832c-127ecff9cb03	1	9255788	9347116	62	0.3117
2aa36c4f-8057-498b-832c-127ecff9cb03	1	9348900	10175981	362	-0.2546
2aa36c4f-8057-498b-832c-127ecff9cb03	1	10176344	10202487	16	0.3951
2aa36c4f-8057-498b-832c-127ecff9cb03	1	10203089	10236460	14	-0.3527
2aa36c4f-8057-498b-832c-127ecff9cb03	1	10236506	10243505	4	0.4945
2aa36c4f-8057-498b-832c-127ecff9cb03	1	10244179	10285267	26	-0.239
2aa36c4f-8057-498b-832c-127ecff9cb03	1	10285328	10311780	33	0.1195
2aa36c4f-8057-498b-832c-127ecff9cb03	1	10314212	10321714	8	0.7609
2aa36c4f-8057-498b-832c-127ecff9cb03	1	10321730	10327885	18	-0.2843
2aa36c4f-8057-498b-832c-127ecff9cb03	1	10329331	10556977	120	0.1333
2aa36c4f-8057-498b-832c-127ecff9cb03	1	10557134	10579724	15	0.7035
2aa36c4f-8057-498b-832c-127ecff9cb03	1	10583772	11295841	346	0.091
2aa36c4f-8057-498b-832c-127ecff9cb03	1	11296248	12119361	440	-0.1588
2aa36c4f-8057-498b-832c-127ecff9cb03	1	12120067	12202735	61	-0.4438
2aa36c4f-8057-498b-832c-127ecff9cb03	1	12204298	12779433	307	-0.0864
2aa36c4f-8057-498b-832c-127ecff9cb03	1	12792599	12867264	31	-1.1241
2aa36c4f-8057-498b-832c-127ecff9cb03	1	12868035	13460805	33	0.293
2aa36c4f-8057-498b-832c-127ecff9cb03	1	13466924	14355094	716	-0.1885
2aa36c4f-8057-498b-832c-127ecff9cb03	1	14364135	14749670	309	0.0358
2aa36c4f-8057-498b-832c-127ecff9cb03	1	14749809	15082660	277	-0.14
2aa36c4f-8057-498b-832c-127ecff9cb03	1	15083026	15157969	46	-0.0237
2aa36c4f-8057-498b-832c-127ecff9cb03	1	15158643	15169409	19	0.5047
2aa36c4f-8057-498b-832c-127ecff9cb03	1	15173606	15685529	337	-0.0214
2aa36c4f-8057-498b-832c-127ecff9cb03	1	15686162	15761329	29	0.3646
2aa36c4f-8057-498b-832c-127ecff9cb03	1	15761501	15822572	46	-0.119
2aa36c4f-8057-498b-832c-127ecff9cb03	1	15822793	15844541	19	1.1291
2aa36c4f-8057-498b-832c-127ecff9cb03	1	15850269	15891708	17	-0.2296
2aa36c4f-8057-498b-832c-127ecff9cb03	1	15895570	15926038	15	0.2789
2aa36c4f-8057-498b-832c-127ecff9cb03	1	15926501	16018760	46	-0.1751
2aa36c4f-8057-498b-832c-127ecff9cb03	1	16037445	16063907	9	0.3791
2aa36c4f-8057-498b-832c-127ecff9cb03	1	16071582	16199054	63	-0.1529
2aa36c4f-8057-498b-832c-127ecff9cb03	1	16200034	16213082	7	-0.6043
2aa36c4f-8057-498b-832c-127ecff9cb03	1	16213318	16235030	6	-0.1659
2aa36c4f-8057-498b-832c-127ecff9cb03	1	16237453	16264685	15	0.4115
2aa36c4f-8057-498b-832c-127ecff9cb03	1	16266874	16458895	86	-0.1543
2aa36c4f-8057-498b-832c-127ecff9cb03	1	16459069	16972001	150	0.2653
2aa36c4f-8057-498b-832c-127ecff9cb03	1	16973232	17053278	41	-0.049
2aa36c4f-8057-498b-832c-127ecff9cb03	1	17055811	17205087	132	-0.3092
2aa36c4f-8057-498b-832c-127ecff9cb03	1	17207815	17214292	5	0.7024
2aa36c4f-8057-498b-832c-127ecff9cb03	1	17215454	17265184	46	-0.1748
2aa36c4f-8057-498b-832c-127ecff9cb03	1	17266821	17296159	25	0.3117
2aa36c4f-8057-498b-832c-127ecff9cb03	1	17296370	18515142	931	-0.2417
2aa36c4f-8057-498b-832c-127ecff9cb03	1	18517978	18518649	3	-2.9764
2aa36c4f-8057-498b-832c-127ecff9cb03	1	18523317	20555673	1342	-0.2652
2aa36c4f-8057-498b-832c-127ecff9cb03	1	20556030	21358952	442	0.0326
2aa36c4f-8057-498b-832c-127ecff9cb03	1	21361264	21416967	39	0.5981
2aa36c4f-8057-498b-832c-127ecff9cb03	1	21420852	21495264	34	0.0502
2aa36c4f-8057-498b-832c-127ecff9cb03	1	21496658	21636058	94	-0.2316
2aa36c4f-8057-498b-832c-127ecff9cb03	1	21637472	21820584	106	0.0086
2aa36c4f-8057-498b-832c-127ecff9cb03	1	21820786	21837671	6	0.8679
2aa36c4f-8057-498b-832c-127ecff9cb03	1	21838233	21991690	85	-0.1048
2aa36c4f-8057-498b-832c-127ecff9cb03	1	21992508	22011632	7	-0.7597
2aa36c4f-8057-498b-832c-127ecff9cb03	1	22015896	22085630	45	0.5948
2aa36c4f-8057-498b-832c-127ecff9cb03	1	22085730	22290090	152	0.2464
2aa36c4f-8057-498b-832c-127ecff9cb03	1	22291092	22299877	11	0.6224
2aa36c4f-8057-498b-832c-127ecff9cb03	1	22302564	22302619	2	-1.473
2aa36c4f-8057-498b-832c-127ecff9cb03	1	22302695	22321918	16	0.2036
2aa36c4f-8057-498b-832c-127ecff9cb03	1	22322994	22329911	5	1.222
2aa36c4f-8057-498b-832c-127ecff9cb03	1	22332234	22453878	69	0.2862
2aa36c4f-8057-498b-832c-127ecff9cb03	1	22454434	23277397	502	0.0036
2aa36c4f-8057-498b-832c-127ecff9cb03	1	23277512	23382496	63	0.3449
2aa36c4f-8057-498b-832c-127ecff9cb03	1	23382706	23506662	84	-0.0054
2aa36c4f-8057-498b-832c-127ecff9cb03	1	23507778	23808306	132	0.2162
2aa36c4f-8057-498b-832c-127ecff9cb03	1	23808684	23821015	6	1.0761
2aa36c4f-8057-498b-832c-127ecff9cb03	1	23822498	24091378	76	0.1386
2aa36c4f-8057-498b-832c-127ecff9cb03	1	24096136	24245590	99	-0.0794
2aa36c4f-8057-498b-832c-127ecff9cb03	1	24248503	24889928	392	0.0637
2aa36c4f-8057-498b-832c-127ecff9cb03	1	24894050	25089191	139	-0.1708
2aa36c4f-8057-498b-832c-127ecff9cb03	1	25090270	25139490	68	0.4821
2aa36c4f-8057-498b-832c-127ecff9cb03	1	25140735	25205583	34	-0.0183
2aa36c4f-8057-498b-832c-127ecff9cb03	1	25205993	25430443	75	0.4345
2aa36c4f-8057-498b-832c-127ecff9cb03	1	25432164	25638707	56	0.0516
2aa36c4f-8057-498b-832c-127ecff9cb03	1	25641020	26477986	454	-0.2541
2aa36c4f-8057-498b-832c-127ecff9cb03	1	26479092	26518434	14	0.4371
2aa36c4f-8057-498b-832c-127ecff9cb03	1	26518812	27022452	166	-0.2403
2aa36c4f-8057-498b-832c-127ecff9cb03	1	27034728	27072223	21	0.3463
2aa36c4f-8057-498b-832c-127ecff9cb03	1	27072293	27480051	148	-0.2758
2aa36c4f-8057-498b-832c-127ecff9cb03	1	27481107	27518482	14	0.5269
